Training started at %s 

Model name is 3_layered 

epoch          iteration      train_loss     train_hw_acc   train_line_acc train_gen_acc  val_hw_acc     val_line_acc   val_gen_acc    
0              0.0000         0.5936         100.0000       0.0000         83.3333        100.0000       0.0000         77.8153        
0              100.0000       0.1625         96.8010        60.3531        89.3069        96.4940        78.0160        92.3198        
0              200.0000       0.1019         96.9761        67.7940        90.6799        98.3024        81.7112        94.8086        
0              300.0000       0.1550         96.8576        71.7595        91.2182        97.0784        84.6389        94.3243        
0              400.0000       0.1389         96.8807        75.0091        91.9119        97.1412        87.1808        94.9887        
0              500.0000       0.0666         97.0946        76.7103        92.5349        98.5522        84.4538        95.5293        
0              600.0000       0.0252         97.1218        77.8981        92.7898        97.8911        88.3459        95.8896        
0              700.0000       0.0473         97.3420        79.0089        93.2430        94.6908        93.1324        94.3356        
0              800.0000       0.1398         97.3090        79.7581        93.3833        98.6323        83.9871        95.5631        
1              0.0000         0.1918         97.2581        80.3964        93.4536        96.9775        92.2064        95.9572        
1              100.0000       0.0462         97.3522        80.7212        93.6609        96.7359        91.2929        95.5743        
1              200.0000       0.0414         97.3796        81.4993        93.8393        98.9187        81.7387        95.1577        
1              300.0000       0.0083         97.4214        81.8955        93.9848        98.2570        89.4131        96.4414        
1              400.0000       0.0820         97.4381        82.4176        94.1103        97.4781        85.0990        94.6622        
1              500.0000       0.0068         97.4440        82.6087        94.1721        98.3611        88.6119        96.1149        
1              600.0000       0.0061         97.4909        83.0888        94.3219        97.7666        91.0309        96.2950        
1              700.0000       0.1369         97.4993        83.3317        94.3982        95.9126        95.5742        95.8446        
1              800.0000       0.0209         97.5513        83.5296        94.4932        96.8053        93.2499        96.0698        
2              0.0000         0.3335         97.6022        83.9060        94.6343        98.6963        88.4805        96.5991        
2              100.0000       0.3895         97.6549        84.2175        94.7517        98.9414        88.6351        96.8581        
2              200.0000       0.0275         97.6687        84.5332        94.8234        98.5499        89.6606        96.6329        
2              300.0000       0.4215         97.6801        84.7797        94.8834        98.9185        88.4833        96.6329        
2              400.0000       0.0538         97.7215        85.0925        94.9977        97.5944        90.9451        96.0811        
2              500.0000       0.0343         97.7356        85.2345        95.0389        96.9859        93.1141        96.1374        
2              600.0000       0.2619         97.7386        85.4939        95.0850        98.0632        91.3390        96.7342        
2              700.0000       0.0559         97.7391        85.7998        95.1314        99.3144        82.2274        95.9797        
2              800.0000       0.0931         97.7469        86.0385        95.1807        97.9222        93.0596        96.8018        
3              0.0000         0.2270         97.7283        86.1335        95.1874        98.2679        90.1639        96.4865        
3              100.0000       0.4694         97.7477        86.3669        95.2495        98.5216        89.8066        96.6441        
3              200.0000       0.2164         97.7704        86.5577        95.3061        98.1867        91.3784        96.7905        
3              300.0000       0.3572         97.7892        86.8176        95.3712        99.0700        88.8419        96.8919        
3              400.0000       0.2296         97.8200        87.0121        95.4451        97.8745        90.8712        96.3626        
